,name,website
1,American Express Company,https://www.americanexpress.com
2,Associated Banc-Corp,https://www.associatedbank.com
3,"Popular, Inc.",https://www.popularbank.com
4,Bank Of Hawaii Corporation,https://www.boh.com
5,"Commerce Bancshares, Inc.",https://www.commercebank.com
6,Synovus Financial Corp.,https://www.synovus.com
7,"Cullen/Frost Bankers, Inc.",https://www.frostbank.com
8,Comerica Incorporated,https://www.comerica.com
9,Regions Financial Corporation,https://www.regions.com
10,U.S. Bancorp,https://www.usbank.com
11,Trustmark Corporation,https://www.trustmark.com
12,M&T Bank Corporation,https://www.mtb.com
13,Fifth Third Bancorp,https://www.53.com
14,First Horizon National Corporation,https://www.firsthorizon.com
15,Arrow Financial Corporation,https://www.arrowfinancial.com
16,Huntington Bancshares Incorporated,https://www.huntington.com
17,Westamerica Bancorporation,https://www.westamerica.com
18,Keycorp,https://www.key.com
19,Bank Of America Corporation,https://www.bankofamerica.com
20,Northern Trust Corporation,https://www.northerntrust.com
21,"Pnc Financial Services Group, Inc., The",https://thepncfinancialservicesgroupinc.gcs-web.com
22,Bb&T Corporation,https://www.bbt.com
23,State Street Corporation,http://www.statestreet.com
24,Umb Financial Corporation,https://www.umb.com
25,Valley National Bancorp,https://www.valley.com
26,Fulton Financial Corporation,https://www.fult.com
27,Cvb Financial Corp.,https://www.cbbank.com
28,"First Midwest Bancorp, Inc.",https://www.firstmidwest.com
29,Trustco Bank Corp Ny,https://www.trustcobank.com
30,"Raymond James Financial, Inc.",https://www.raymondjames.com
31,Stifel Financial Corp.,http://www.stifel.com
32,1St Source Corporation,https://www.1stsource.com
33,"Franklin Resources, Inc.",https://www.franklinresources.com
34,First Financial Bancorp,http://www.bankatfirst.com
35,Seacoast Banking Corporation Of Florida,http://www.seacoastbanking.com
36,"Glacier Bancorp, Inc.",http://www.glacierbancorp.com
37,Old National Bancorp,https://www.oldnational.com
38,"Ameriserv Financial, Inc",https://www.ameriserv.com
39,Simmons First National Corporation,https://simmonsbank.com
40,Bryn Mawr Bank Corporation,https://www.bmt.com
41,Independent Bank Corporation,https://www.independentbank.com
42,"Peoples Bancorp Of North Carolina, Inc.",https://www.peoplesbanknc.com
43,"Community Bank System, Inc.",https://www.communitybanksystem.com
44,Independent Bank Corp.,https://www.independentbank.com
45,Tompkins Financial Corporation,https://www.tompkinsfinancial.com
46,Tcf Financial Corporation,http://www.tcfbank.com
47,F.N.B. Corporation,https://www.fnb-online.com
48,"First Citizens Bancshares, Inc.",https://www.firstcitizens.com
49,Bank Of South Carolina Corporation,https://www.banksc.com
50,Webster Financial Corporation,https://public.websteronline.com
51,"First Of Long Island Corporation, The",https://www.fnbli.com
52,First Bancorp,https://localfirstbank.com
53,Oriental Financial Group Inc.,http://www.ofgbancorp.com
54,First Bancorp,https://localfirstbank.com
55,"Wesbanco, Inc.",https://www.wesbanco.com
56,"Century Bancorp, Inc.",https://www.centurybank.com
57,"United Bankshares, Inc.",https://www.ubsi-inc.com
58,"Washington Trust Bancorp, Inc.",https://www.washtrust.com
59,City Holding Company,https://www.bankatcity.com
60,Horizon Bancorp,https://www.horizonbank.com
61,Northeast Bancorp,https://www.northeastbank.com
62,Central Pacific Financial Corp.,http://www.centralpacificbank.com
63,Svb Financial Group,https://www.svb.com
64,"Community Trust Bancorp, Inc.",https://www.ctbi.com
65,"People'S United Financial, Inc.",https://www.peoples.com
66,Chemical Financial Corporation,https://www.chemicalbank.com
67,"Republic First Bancorp, Inc.",https://www.myrepublicbank.com
68,First Merchants Corporation,https://www.firstmerchants.com
69,"Great Southern Bancorp, Inc.",https://www.greatsouthernbank.com
70,Park National Corporation,https://www.parknationalcorp.com
71,Cathay General Bancorp,https://www.cathaybank.com
72,Hancock Holding Company,https://www.hancockwhitney.com
73,Bok Financial Corporation,https://www.bokfinancial.com
74,First Financial Corporation,https://www.ffncorp.com
75,Nbt Bancorp Inc.,https://www.nbtbancorp.com
76,Renasant Corporation,http://www.renasant.com
77,"S & T Bancorp, Inc.",https://www.stbank.com
78,"Columbia Banking System, Inc.",https://www.columbiabank.com
79,First United Corporation,https://mybank.com
80,Peoples Bancorp Inc.,https://www.peoplesbancorp.com
81,"United Bancorp, Inc.",http://www.unitedbancorp.com
82,"S. Y. Bancorp, Inc.",https://www.syb.com
83,Bancfirst Corporation,https://www.bloomberg.com
84,Trico Bancshares,https://www.tcbk.com
85,"German American Bancorp, Inc.",https://www.germanamericanonline.com
86,Union First Market Bankshares Corporation,https://investors.atlanticunionbank.com
87,"Qcr Holdings, Inc.",https://cl.linkedin.com.com
88,"First Financial Bankshares, Inc.",https://ffin.com
89,"Old Second Bancorp, Inc.",https://www.oldsecond.com
90,"New York Community Bancorp, Inc.",https://www.mynycb.com
91,Wvs Financial Corp.,http://www.wvsbank.com
92,"Boston Private Financial Holdings, Inc.",https://www.bostonprivate.com
93,"Landmark Bancorp, Inc.",https://www.banklandmark.com
94,"Southern Missouri Bancorp, Inc.",http://investors.bankwithsouthern.com
95,Ameris Bancorp,https://www.amerisbank.com
96,"Patriot National Bancorp, Inc.",https://bankpatriot.com
97,Fidelity Southern Corporation,https://www.amerisbank.com
98,Iberiabank Corporation,http://www.iberiabank.com
99,"Mb Financial, Inc",https://thebestandbrightest.com.com
100,"Guaranty Federal Bancshares, Inc.",https://www.gbankmo.com
101,"Auburn National Bancorporation, Inc.",https://www.auburnbank.com
102,Banner Corporation,https://www.bannerbank.com
103,Ohio Valley Banc Corp.,https://www.ovbc.com
104,"Sandy Spring Bancorp, Inc.",https://www.sandyspringbank.com
105,"Premier Financial Bancorp, Inc.",https://www.premierbankinc.com
106,"Center Bancorp, Inc.",https://centralbancorp.com
107,"Cass Information Systems, Inc.",https://www.cassinfo.com
108,Community West Bancshares,http://www.communitywest.com
109,"Capital City Bank Group, Inc.",https://www.ccbg.com
110,Wintrust Financial Corporation,https://www.wintrust.com
111,"Codorus Valley Bancorp, Inc.",http://www.peoplesbanknet.com
112,Pathfinder Bancorp Inc,https://www.pathfinderbank.com
113,"Pacific Premier Bancorp, Inc.",https://www.ppbi.com
114,Lakeland Financial Corporation,https://www.lakecitybank.com
115,Heritage Financial Corporation,http://www.hf-wa.com
116,"Timberland Bancorp, Inc.",https://www.timberlandbank.com
117,C&F Financial Corporation,http://www.cffinance.com
118,"Nara Bancorp, Inc.",http://www.thedieline.com
119,Norwood Financial Corp.,https://www.globenewswire.com
120,"Brookline Bancorp, Inc.",http://www.brooklinebancorp.com
121,Umpqua Holdings Corporation,https://www.umpquabank.com
122,"Colony Bankcorp, Inc.",http://investors.colonybank.com
123,"Southside Bancshares, Incorporated",https://www.southside.com
124,"Republic Bancorp, Inc.",https://republicbank.com
125,First Busey Corporation,https://www.busey.com
126,Cnb Financial Corporation,https://trademarks.justia.com
127,"Prosperity Bancshares, Inc.",https://www.prosperitybankusa.com
128,"East West Bancorp, Inc.",https://www.eastwestbank.com
129,American National Bankshares Inc.,https://www.amnb.com
130,Sierra Bancorp,https://sierrabancorp.com
131,"Financial Institutions, Inc.",https://www.snl.com
132,"First Bancorp, Inc., The",http://investor.localfirstbank.com
133,"Eagle Bancorp, Inc.",https://www.eaglebankcorp.com
134,"National Bankshares, Inc.",https://finance.yahoo.com
135,Macatawa Bank Corporation,https://www.macatawabank.com
136,"Fauquier Bankshares, Inc.",https://finance.yahoo.com
137,Bank Of Marin Bancorp,https://www.bankofmarin.com
138,"Mutualfirst Financial, Inc.",https://www.snl.com
139,"Lakeland Bancorp, Inc.",https://www.lakelandbank.com
140,"Bank Of New York Mellon Corporation, The",https://www.bnymellon.com
141,Jpmorgan Chase & Co.,https://www.jpmorganchase.com
142,Citigroup Inc.,https://www.citigroup.com
143,Morgan Stanley,https://www.morganstanley.com
144,Wells Fargo & Company,https://www.wellsfargo.com
145,"Charles Schwab Corporation, The",https://www.schwab.com
146,"Suntrust Banks, Inc.",https://www.suntrust.com
147,"Northrim Bancorp, Inc.",https://www.northrim.com
148,First Commonwealth Financial Corporation,https://www.fcbanking.com
149,"Midsouth Bancorp, Inc.",https://www.hancockwhitney.com
150,Capital One Financial Corporation,https://www.capitalone.com
151,Southwest Georgia Financial Corporation,https://www.businesswire.com
152,International Bancshares Corporation,https://www.ibc.com
153,Scbt Financial Corporation,https://www.businesswire.com
154,Bar Harbor Bankshares,https://www.marketwatch.com
155,Camden National Corporation,https://www.camdennational.com
156,"Mid Penn Bancorp, Inc.",https://midpennbank.com
157,Rurban Financial Corp.,http://www.yourstatebank.com
158,Sussex Bancorp,https://www.globenewswire.com
159,Heritage Commerce Corp,http://www.heritagecommercecorp.com
160,"Salisbury Bancorp, Inc.",https://www.salisburybank.com
161,"Goldman Sachs Group, Inc., The",https://www.goldmansachs.com
162,Mercantile Bank Corporation,https://www.mercbank.com
163,Citizens Holding Company,http://www.citizensholdingcompany.com
164,Old Point Financial Corporation,https://oldpoint.com
165,"Hawthorn Bancshares, Inc",http://www.hawthornbancshares.com
166,Pacwest Bancorp,http://www.pacwestbancorp.com
167,Pacific Mercantile Bancorp,http://investors.pmbank.com
168,"United Security Bancshares, Inc.",https://www.unitedsecuritybank.com
169,American River Bankshares,https://www.americanriverbank.com
170,Peapack-Gladstone Financial Corporation,https://www.pgbank.com
171,Hanmi Financial Corporation,https://www.hanmi.com
172,"Centerstate Banks, Inc.",https://www.centerstatebank.com
173,"First Community Bancshares, Inc.",https://www.firstcommunitybank.com
174,"United Bancshares, Inc.",https://www.ubsi-inc.com
175,First Citizens Banc Corp,https://www.firstcitizens.com
176,"Shore Bancshares, Inc.",https://baltimore.citybizlist.com
177,United Security Bancshares,https://www.unitedsecuritybank.com
178,Glen Burnie Bancorp,https://www.thebankofglenburnie.com
179,"Evans Bancorp, Inc.",https://evansbank.com
180,Mackinac Financial Corporation,https://www.bankmbank.com
181,"Penns Woods Bancorp, Inc.",https://www.pwod.com
182,1St Constitution Bancorp,https://www.1stconstitution.com
183,"Union Bankshares, Inc.",https://investors.atlanticunionbank.com
184,"United Community Banks, Inc.",https://www.ucbi.com
185,"Pinnacle Financial Partners, Inc.",https://www.pnfp.com
186,"West Bancorporation, Inc.",https://www.westbankstrong.com
187,Cit Group Inc.,https://www.cit.com
188,"First Pactrust Bancorp, Inc.",https://www.businesswire.com
189,"Parke Bancorp, Inc",https://www.parkebank.com
190,Village Bank And Trust Financial Corp.,https://www.villagebank.com
191,First Community Corporation,https://www.firstcommunitysc.com
192,"Provident Financial Services, Inc.",http://www.annualreports.com
193,"Heartland Financial Usa, Inc.",https://www.htlf.com
194,Mbt Financial Corp.,https://www.firstmerchants.com
195,"Optimumbank Holdings, Inc.",https://www.optimumbank.com
196,"Texas Capital Bancshares, Inc.",https://www.texascapitalbank.com
197,Univest Corporation Of Pennsylvania,https://www.globenewswire.com
198,Marlin Business Services Corp.,https://marlincapitalsolutions.com
199,"Old Line Bancshares, Inc.",https://www.oldlinebank.com
200,"Bancorp, Inc., The",https://www.thebancorp.com
201,Hilltop Holdings Inc,https://www.hilltop-holdings.com
202,Central Valley Community Bancorp,https://www.cvcb.com
203,Bank Of Commerce Holdings,https://www.bankofcommerceholdings.com
204,Access National Corporation,https://www.atlanticunionbank.com
205,"Southern First Bancshares, Inc.",https://www.southernfirst.com
206,Ames National Corporation,https://www.amesnational.com
207,Citizens And Northern Corporation,https://www.cnbankpa.com
208,"Summit Financial Group, Inc.",http://www.summitfgi.com
209,"Enterprise Bancorp, Inc.",https://www.enterprisebanking.com
210,Enterprise Financial Services Corp,https://www.enterprisebank.com
211,"Prudential Bancorp, Inc. Of Pennsylvania",https://www.psbanker.com
212,Plumas Bancorp,https://www.plumasbank.com
213,"Rockville Financial, Inc.",https://www.globenewswire.com
214,Western Alliance Bancorporation,https://www.westernalliancebancorporation.com
215,Guaranty Bancorp,https://www.globenewswire.com
216,"First Business Financial Services, Inc.",https://firstbusiness.com
217,"Investors Bancorp, Mhc",https://www.bloomberg.com
218,"Bcb Bancorp, Inc.",http://investorrelations.bcbcommunitybank.com
219,"Magyar Bancorp, Mhc",https://www.magbank.com
220,Community Partners Bancorp,https://www.businesswire.com
221,"First Bancshares, Inc., The",https://www.thefirstbank.com
222,Community Bankers Trust Corporation,http://www.snl.com
223,"Home Bancshares, Inc.",https://www.homebancshares.com
224,"New Century Bancorp, Inc.",https://www.newcenturybankna.com
225,"Porter Bancorp, Inc.",https://www.limestonebank.com
226,"Viewpoint Financial Group, Inc.",https://www.prnewswire.com
227,Citizens First Corporation,https://www.globenewswire.com
228,"Southern National Bancorp Of Virginia, Inc.",https://investors.sonabank.com
229,Stewardship Financial Corporation,http://www.snl.com
230,Discover Financial Services,https://www.discover.com
231,Meridian Bancorp Inc (Md),https://www.ebsb.com
232,"Midwestone Financial Group, Inc.",https://www.snl.com
233,"Bancorp Of New Jersey, Inc.",https://www.connectonebank.com
234,"Bridge Bancorp, Inc.",https://www.bnbbank.com
235,Dnb Financial Corporation,https://www.stbank.com
236,Oak Valley Bancorp,https://www.ovcb.com
237,"Orrstown Financial Services, Inc.",https://www.orrstown.com
238,Emclaire Financial Corp,https://www.emclairefinancial.com
239,"First Interstate Bancsystem, Inc.",https://www.firstinterstatebank.com
240,Acnb Corporation,https://www.acnb.com
241,"Bankunited, Inc.",https://www.bankunited.com
242,Ally Financial Inc,https://www.ally.com
243,State Bank Financial Corporation,https://www.businesswire.com
244,Farmers National Banc Corp.,https://farmersbankgroup.com
245,Lcnb Corp.,https://www.lcnb.com
246,Bsb Bancorp Inc.,https://www.prnewswire.com
247,Bank Of The James Financial,https://www.bloomberg.com
248,"Wellesley Bancorp, Inc.",https://wellesleybank.com
249,Howard Bancorp Inc,https://www.howardbank.com
250,"Sound Financial Bancorp, Inc.",https://www.soundcb.com
251,National Bank Holdings Corporation,https://www.nationalbankholdings.com
252,Chemung Financial Corp,https://www.chemungcanal.com
253,First Internet Bancorp,http://www.firstinternetbancorp.com
254,Independent Bk Grp Inc,https://www.independent-bank.com
255,Customers Bancorp Inc,https://www.customersbank.com
256,Tristate Capital Hldgs Inc,https://www.tristatecapitalbank.com
257,Community Financial Cp (The),http://www.communityfc.com
258,Peoples Financial Services,https://www.npbfinancialservices.com
259,Bankwell Financial Group Inc,https://www.mybankwell.com
260,First Mid Ill Bancshares Inc,https://www.firstmid.com
261,Servisfirst Bancshares Inc,http://www.servisfirstbank.com
262,Blue Hills Bancorp Inc,https://www.businesswire.com
263,Carolina Financial Corp,https://www.haveanicebank.com
264,Investar Holding Corp,https://www.investarbank.com
265,Fcb Financial Holdings Inc,https://www.synovus.com
266,Green Bancorp Inc,https://veritexbank.com
267,Citizens Financial Group Inc,https://www.mybanktracker.com
268,Middlefield Banc Corp,https://www.middlefieldbank.com
269,Cb Financial Services Inc,https://www.teamcbfinancialservices.com
270,Great Western Bancorp Inc,https://www.greatwesternbank.com
271,Entegra Financial Corp,https://www.entegrabank.com
272,"Melrose Bancorp, Inc.",https://www.melrosebank.com
273,Veritex Holdings Inc,https://veritexbank.com
274,First Foundation Inc,https://www.firstfoundationinc.com
275,Triumph Bancorp Inc,https://www.triumphbancorp.com
276,First Northwest Bancorp,https://www.ffnwb.com
277,County Bancorp Inc,https://www.investorscommunitybank.com
278,Franklin Finl Network Inc,https://www.businesswire.com
279,National Commerce Corp,https://www.prnewswire.com
280,Peoples Utah Bancorp,https://www.peoplesutah.com
281,Commerce Union Bancshares/Tn,https://www.reliantbank.com
282,Live Oak Bancshares Inc,https://www.liveoakbank.com
283,Provident Bancorp Inc,https://www.theprovidentbank.com
284,Atlantic Cap Bancshares Inc,https://atlanticcapitalbank.com
285,Allegiance Bancshares Inc,http://www.allegiancebank.com
286,Equity Bancshares Inc,https://www.equitybank.com
287,First Guaranty Bancshares,https://smartasset.com
288,Smartfinancial Inc,http://www.smartfinancialinc.com
289,Nicolet Bankshares Inc,https://www.nicoletbank.com
290,Midland States Bancorp,https://www.midlandsb.com
291,Harborone Bancorp Inc,https://www.harboronebancorp.com
292,"Fsb Bancorp, Inc.",https://www.fairportsavingsbank.com
293,"Randolph Bancorp, Inc.",http://www.randolphbancorp.com
294,"First Hawaiian, Inc.",https://www.fhb.com
295,Capstar Financial Hldgs Inc,https://www.capstarbank.com
296,Fb Financial Corp,https://investors.firstbankonline.com
297,Hometown Bankshares Corp,https://www.amnb.com
298,Pcsb Financial Corp,https://www.pcsb.com
299,Farmers & Merchants Bcp/Oh,https://www.bankwithfm.com
300,Byline Bancorp Inc,http://www.bylinebancorp.com
301,Rbb Bancorp,https://www.royalbusinessbankusa.com
302,Cambridge Bancorp,https://www.cambridgetrust.com
303,Fidelity D & D Bancorp Inc,https://www.bankatfidelity.com
304,Merchants Bancorp,https://www.merchantsbankofindiana.com
305,Cbtx Inc,https://www.communitybankoftx.com
306,Luther Burbank Corp,https://www.lutherburbanksavings.com
307,Mvb Financial Corp,https://mvbbanking.com
308,Bridgewater Bancshares,https://bridgewaterbankmn.com
309,Fncb Bancorp Inc,https://www.fncb.com
310,Business First Bancshs Inc,https://www.b1bank.com
311,Level One Bancorp Inc,https://www.levelonebank.com
312,Origin Bancorp,https://www.marketbeat.com
313,Coastal Financial Corp,https://www.coastalbank.com
314,First Wstrn Finncil Inc,https://myfw.gcs-web.com
315,Amalgamated Bk New York N Y,https://www.amalgamatedbank.com
316,Amerant Bancorp Inc,https://www.amerantbank.com
317,Pacific City Financial Corp,https://www.spglobal.com
318,Bank7 Corp,https://www.bank7.com
319,Capital Bancorp Inc,https://capitalbankmd.com
320,Bank First National Corp,http://www.bankfirstnational.com
